,time,day,dustbin,percentage
0,11.0,0.0,0.0,2.0
1,11.0,0.0,1.0,73.0
2,11.0,0.0,2.0,28.0
3,11.0,0.0,3.0,52.0
4,11.0,0.0,4.0,63.0
5,11.0,0.0,5.0,54.0
6,11.0,0.0,6.0,22.0
7,11.0,0.0,7.0,28.0
8,11.0,0.0,8.0,13.0
9,11.0,0.0,9.0,24.0
10,11.0,0.0,10.0,5.0
11,11.0,0.0,11.0,35.0
12,11.0,0.0,12.0,26.0
13,11.0,0.0,13.0,18.0
14,11.0,0.0,14.0,1.0
15,11.0,0.0,15.0,50.0
16,11.0,0.0,16.0,7.0
17,11.0,0.0,17.0,51.0
18,11.0,0.0,18.0,31.0
19,11.0,0.0,19.0,72.0
20,11.0,0.0,20.0,64.0
21,11.0,0.0,21.0,9.0
22,11.0,0.0,22.0,51.0
23,11.0,0.0,23.0,1.0
24,11.0,0.0,24.0,59.0
25,11.05,0.0,0.0,2.18
26,11.05,0.0,1.0,82.49
27,11.05,0.0,2.0,31.64
28,11.05,0.0,3.0,55.12
29,11.05,0.0,4.0,72.45
30,11.05,0.0,5.0,57.24
31,11.05,0.0,6.0,23.32
32,11.05,0.0,7.0,32.2
33,11.05,0.0,8.0,14.82
34,11.05,0.0,9.0,26.16
35,11.05,0.0,10.0,5.1
36,11.05,0.0,11.0,36.05
37,11.05,0.0,12.0,29.12
38,11.05,0.0,13.0,19.08
39,11.05,0.0,14.0,1.02
40,11.05,0.0,15.0,52.5
41,11.05,0.0,16.0,8.05
42,11.05,0.0,17.0,58.14
43,11.05,0.0,18.0,32.86
44,11.05,0.0,19.0,75.6
45,11.05,0.0,20.0,71.68
46,11.05,0.0,21.0,9.09
47,11.05,0.0,22.0,52.02
48,11.05,0.0,23.0,1.05
49,11.05,0.0,24.0,67.85
50,11.1,0.0,0.0,2.2454
51,11.1,0.0,1.0,12.0
52,11.1,0.0,2.0,31.64
53,11.1,0.0,3.0,60.080799999999996
54,11.1,0.0,4.0,76.0725
55,11.1,0.0,5.0,60.674400000000006
56,11.1,0.0,6.0,24.486
57,11.1,0.0,7.0,32.844
58,11.1,0.0,8.0,16.8948
59,11.1,0.0,9.0,26.16
60,11.1,0.0,10.0,5.202
61,11.1,0.0,11.0,38.212999999999994
62,11.1,0.0,12.0,32.9056
63,11.1,0.0,13.0,19.461599999999997
64,11.1,0.0,14.0,1.0302
65,11.1,0.0,15.0,54.6
66,11.1,0.0,16.0,8.4525
67,11.1,0.0,17.0,58.14
68,11.1,0.0,18.0,35.4888
69,11.1,0.0,19.0,35.0
70,11.1,0.0,20.0,79.5648
71,11.1,0.0,21.0,9.5445
72,11.1,0.0,22.0,56.701800000000006
73,11.1,0.0,23.0,1.1340000000000001
74,11.1,0.0,24.0,73.95649999999999
75,11.15,0.0,0.0,2.425032
76,11.15,0.0,1.0,12.84
77,11.15,0.0,2.0,32.5892
78,11.15,0.0,3.0,60.080799999999996
79,11.15,0.0,4.0,7.0
80,11.15,0.0,5.0,69.168816
81,11.15,0.0,6.0,27.66918
82,11.15,0.0,7.0,37.44216
83,11.15,0.0,8.0,19.091124
84,11.15,0.0,9.0,28.514400000000002
85,11.15,0.0,10.0,5.61816
86,11.15,0.0,11.0,42.034299999999995
87,11.15,0.0,12.0,36.525216
88,11.15,0.0,13.0,21.213143999999996
89,11.15,0.0,14.0,1.071408
90,11.15,0.0,15.0,62.244
91,11.15,0.0,16.0,8.537025
92,11.15,0.0,17.0,65.6982
93,11.15,0.0,18.0,40.102343999999995
94,11.15,0.0,19.0,36.05
95,11.15,0.0,20.0,19.0
96,11.15,0.0,21.0,10.498949999999999
97,11.15,0.0,22.0,62.37198000000001
98,11.15,0.0,23.0,1.27008
99,11.15,0.0,24.0,84.31040999999999
100,11.2,0.0,0.0,2.64328488
101,11.2,0.0,1.0,14.637599999999999
102,11.2,0.0,2.0,36.825796
103,11.2,0.0,3.0,64.286456
104,11.2,0.0,4.0,7.77
105,11.2,0.0,5.0,78.16076208000001
106,11.2,0.0,6.0,31.819557000000003
107,11.2,0.0,7.0,41.186376
108,11.2,0.0,8.0,21.9547926
109,11.2,0.0,9.0,32.221272
110,11.2,0.0,10.0,6.067612799999999
111,11.2,0.0,11.0,42.87498599999999
112,11.2,0.0,12.0,39.81248544
113,11.2,0.0,13.0,22.273801199999998
114,11.2,0.0,14.0,1.10355024
115,11.2,0.0,15.0,69.71328
116,11.2,0.0,16.0,8.878506
117,11.2,0.0,17.0,67.012164
118,11.2,0.0,18.0,40.904390879999994
119,11.2,0.0,19.0,39.2945
120,11.2,0.0,20.0,19.0
121,11.2,0.0,21.0,11.023897499999999
122,11.2,0.0,22.0,66.7380186
123,11.2,0.0,23.0,1.4097888
124,11.2,0.0,24.0,22.0
125,11.25,0.0,0.0,2.6961505776
126,11.25,0.0,1.0,16.247736
127,11.25,0.0,2.0,40.508375599999994
128,11.25,0.0,3.0,66.85791424
129,11.25,0.0,4.0,8.0031
130,11.25,0.0,5.0,22.0
131,11.25,0.0,6.0,32.13775257
132,11.25,0.0,7.0,47.3643324
133,11.25,0.0,8.0,24.589367712
134,11.25,0.0,9.0,35.4433992
135,11.25,0.0,10.0,6.3709934399999995
136,11.25,0.0,11.0,44.161235579999996
137,11.25,0.0,12.0,45.3862334016
138,11.25,0.0,13.0,23.832967284
139,11.25,0.0,14.0,1.1918342592
140,11.25,0.0,15.0,74.5932096
141,11.25,0.0,16.0,9.94392672
142,11.25,0.0,17.0,72.37313712
143,11.25,0.0,18.0,41.722478697599996
144,11.25,0.0,19.0,44.402785
145,11.25,0.0,20.0,21.66
146,11.25,0.0,21.0,11.244375449999998
147,11.25,0.0,22.0,68.740159158
148,11.25,0.0,23.0,1.578963456
149,11.25,0.0,24.0,22.88
150,11.3,0.0,0.0,2.750073589152
151,11.3,0.0,1.0,17.8725096
152,11.3,0.0,2.0,46.17954818399999
153,11.3,0.0,3.0,74.8808639488
154,11.3,0.0,4.0,8.0031
155,11.3,0.0,5.0,25.3
156,11.3,0.0,6.0,33.101885147100006
157,11.3,0.0,7.0,53.995338936
158,11.3,0.0,8.0,25.08115506624
159,11.3,0.0,9.0,36.152267184
160,11.3,0.0,10.0,7.326642455999999
161,11.3,0.0,11.0,45.48607264739999
162,11.3,0.0,12.0,47.201682737664
163,11.3,0.0,13.0,24.78628597536
164,11.3,0.0,14.0,1.1918342592
165,11.3,0.0,15.0,75.339141696
166,11.3,0.0,16.0,11.1371979264
167,11.3,0.0,17.0,82.5053763168
168,11.3,0.0,18.0,45.060276993407996
169,11.3,0.0,19.0,46.1788964
170,11.3,0.0,20.0,22.0932
171,11.3,0.0,21.0,12.931031767499997
172,11.3,0.0,22.0,77.67637984854
173,11.3,0.0,23.0,1.7052805324800002
174,11.3,0.0,24.0,25.168
175,11.35,0.0,0.0,3.08008241985024
176,11.35,0.0,1.0,19.123585272
177,11.35,0.0,2.0,51.25929848423999
178,11.35,0.0,3.0,82.36895034368
179,11.35,0.0,4.0,8.723379
180,11.35,0.0,5.0,27.830000000000002
181,11.35,0.0,6.0,35.419017107397
182,11.35,0.0,7.0,57.77501266152
183,11.35,0.0,8.0,25.5827781675648
184,11.35,0.0,9.0,37.23683519952
185,11.35,0.0,10.0,7.399908880559999
186,11.35,0.0,11.0,50.94440136508799
187,11.35,0.0,12.0,50.50580052930048
188,11.35,0.0,13.0,24.78628597536
189,11.35,0.0,14.0,1.3467727128959999
190,11.35,0.0,15.0,6.0
191,11.35,0.0,16.0,11.471313864192
192,11.35,0.0,17.0,9.0
193,11.35,0.0,18.0,51.8193185424192
194,11.35,0.0,19.0,46.640685364
195,11.35,0.0,20.0,23.19786
196,11.35,0.0,21.0,14.741376214949996
197,11.35,0.0,22.0,32.0
198,11.35,0.0,23.0,1.9269670017024003
199,11.35,0.0,24.0,28.18816
200,11.4,0.0,0.0,3.1108832440487424
201,11.4,0.0,1.0,21.0359437992
202,11.4,0.0,2.0,53.82226340845199
203,11.4,0.0,3.0,40.0
204,11.4,0.0,4.0,9.68295069
205,11.4,0.0,5.0,28.664900000000003
206,11.4,0.0,6.0,40.73186967350655
207,11.4,0.0,7.0,62.3970136744416
208,11.4,0.0,8.0,28.14105598432128
209,11.4,0.0,9.0,40.2157820154816
210,11.4,0.0,10.0,7.7699043245879995
211,11.4,0.0,11.0,55.52939748794591
212,11.4,0.0,12.0,51.51591653988649
213,11.4,0.0,13.0,24.78628597536
214,11.4,0.0,14.0,1.37370816715392
215,11.4,0.0,15.0,6.6
216,11.4,0.0,16.0,12.0448795574016
217,11.4,0.0,17.0,9.36
218,11.4,0.0,18.0,52.33751172784339
219,11.4,0.0,19.0,48.03990592492
220,11.4,0.0,20.0,23.4298386
221,11.4,0.0,21.0,16.657755122893494
222,11.4,0.0,22.0,32.0
